,flight_id,iop,iop_date_local,nominal_altitude,sensor_aspirated,sensor_unaspirated,aspirated_start_time_utc,aspirated_end_time_utc,unaspirated_start_time_utc,unaspirated_end_time_utc,aspirated_stack_duration,unaspirated_stack_duration
121,45,14,6/18/22 0:00,120,X10,,6/18/22 20:10,6/18/22 20:23,,,12.316666666666666,
122,45,14,6/18/22 0:00,350,X02,,6/18/22 20:11,6/18/22 20:23,,,12.2,
123,46,14,6/18/22 0:00,5,X10,,6/18/22 22:09,6/18/22 22:18,,,9.016666666666667,
125,47,14,6/18/22 0:00,120,X10,,6/19/22 1:26,6/19/22 1:39,,,13.216666666666667,
126,47,14,6/18/22 0:00,350,X02,,6/19/22 1:25,6/19/22 1:37,,,11.733333333333333,
127,48,14,6/18/22 0:00,350,X02,,6/19/22 1:46,6/19/22 2:01,,,14.333333333333334,
128,48,14,6/18/22 0:00,120,X10,,6/19/22 1:46,6/19/22 2:00,,,14.533333333333333,
129,49,15,5/24/23 0:00,350,X04,X05,5/24/23 18:48,5/24/23 19:00,,,11.833333333333334,
130,49,15,5/24/23 0:00,235,X10,X01,,,5/24/23 18:48,5/24/23 19:01,,12.966666666666667
131,49,15,5/24/23 0:00,120,X03,X02,5/24/23 18:49,5/24/23 19:01,5/24/23 18:49,5/24/23 18:52,12.75,3.433333333333333
132,50,16,5/26/23 0:00,350,X09,X06,5/26/23 19:05,5/26/23 19:18,5/26/23 19:06,5/26/23 19:18,12.15,12.15
133,50,16,5/26/23 0:00,235,X10,X03,5/26/23 19:13,5/26/23 19:18,5/26/23 19:06,5/26/23 19:18,4.766666666666667,12
134,50,16,5/26/23 0:00,120,X04,X07,5/26/23 19:07,5/26/23 19:19,5/26/23 19:07,5/26/23 19:18,12.25,11.033333333333333
135,51,16,5/26/23 0:00,350,X09,X06,5/26/23 20:49,5/26/23 20:59,5/26/23 20:49,5/26/23 20:59,9.55,9.516666666666667
136,51,16,5/26/23 0:00,235,X10,X03,5/26/23 20:49,5/26/23 20:59,5/26/23 20:49,5/26/23 20:59,9.416666666666666,9.416666666666666
137,51,16,5/26/23 0:00,120,X04,X07,5/26/23 20:50,5/26/23 20:59,5/26/23 20:50,5/26/23 20:59,9.15,9.133333333333333
138,52,17,5/27/23 0:00,350,X09,X05,5/27/23 18:32,5/27/23 18:44,5/27/23 18:32,5/27/23 18:44,11.983333333333333,16.7
139,52,17,5/27/23 0:00,235,X10,X03,5/27/23 18:32,5/27/23 18:43,5/27/23 18:32,5/27/23 18:43,11.366666666666667,11.383333333333333
140,52,17,5/27/23 0:00,120,X04,X07,5/27/23 18:33,5/27/23 18:45,5/27/23 18:33,5/27/23 18:45,12.166666666666666,12.216666666666667
141,53,17,5/27/23 0:00,350,X09,X05,5/27/23 21:29,5/27/23 21:41,5/27/23 21:29,5/27/23 21:41,11.916666666666666,11.9
142,53,17,5/27/23 0:00,235,X10,X03,5/27/23 21:30,5/27/23 21:41,5/27/23 21:30,5/27/23 21:41,10.916666666666666,10.916666666666666
143,53,17,5/27/23 0:00,120,X04,X07,5/27/23 21:29,5/27/23 21:42,5/27/23 21:29,5/27/23 21:42,13.283333333333333,13.316666666666666
144,54,17,5/27/23 0:00,350,X09,X05,5/27/23 23:34,5/27/23 23:45,5/27/23 23:34,5/27/23 23:46,11.95,11.983333333333333
145,54,17,5/27/23 0:00,235,X10,X03,5/27/23 23:33,5/27/23 23:45,5/27/23 23:33,5/27/23 23:45,12.033333333333333,12.066666666666666
146,54,17,5/27/23 0:00,120,X04,X07,5/27/23 23:33,5/27/23 23:47,5/27/23 23:33,5/27/23 23:38,14.1,4.233333333333333
147,55,18,5/30/23 0:00,350,X03,X05,5/30/23 18:38,5/30/23 18:50,5/30/23 18:39,5/30/23 18:50,11.35,11.316666666666666
148,56,18,5/30/23 0:00,350,X03,X05,5/30/23 22:16,5/30/23 22:31,5/30/23 22:16,5/30/23 22:31,15.066666666666666,15.066666666666666
149,57,18,5/30/23 0:00,350,X03,X05,5/30/23 22:59,5/30/23 23:15,5/30/23 22:59,5/30/23 23:15,16.483333333333334,16.483333333333334
