,flight_id,iop_date_local,iop,drone_name,flight_number_of_day,nominal_altitude,takeoff_time_local,landing_time_local,takeoff_time_utc,landing_time_utc,sensor_aspirated,sensor_unaspirated
93,35,2022-06-12,12,Ac,4,235,2022-06-12 16:52:00,2022-06-12 17:13:00,2022-06-12 22:52:00,2022-06-12 23:13:00,X04,
94,35,2022-06-12,12,Cb,4,350,2022-06-12 16:52:00,2022-06-12 17:13:00,2022-06-12 22:52:00,2022-06-12 23:13:00,X02,
95,35,2022-06-12,12,St,4,120,2022-06-12 16:52:00,2022-06-12 17:13:00,2022-06-12 22:52:00,2022-06-12 23:13:00,X10,
96,36,2022-06-12,12,Ac,5,235,2022-06-12 18:22:00,2022-06-12 18:41:00,2022-06-13 00:22:00,2022-06-13 00:41:00,X04,
97,36,2022-06-12,12,Cb,5,350,2022-06-12 18:22:00,2022-06-12 18:41:00,2022-06-13 00:22:00,2022-06-13 00:41:00,X02,
98,36,2022-06-12,12,St,5,120,2022-06-12 18:22:00,2022-06-12 18:41:00,2022-06-13 00:22:00,2022-06-13 00:41:00,X10,
99,37,2022-06-12,12,Ac,6,235,2022-06-12 18:58:00,2022-06-12 19:15:00,2022-06-13 00:58:00,2022-06-13 01:15:00,X03,
100,37,2022-06-12,12,Cb,6,350,2022-06-12 18:58:00,2022-06-12 19:15:00,2022-06-13 00:58:00,2022-06-13 01:15:00,X02,
101,37,2022-06-12,12,St,6,120,2022-06-12 18:58:00,2022-06-12 19:15:00,2022-06-13 00:58:00,2022-06-13 01:15:00,X10,
102,38,2022-06-17,13,Cb,1,350,2022-06-17 14:14:00,2022-06-17 14:33:00,2022-06-17 20:14:00,2022-06-17 20:33:00,X02,
103,38,2022-06-17,13,St,1,120,2022-06-17 14:14:00,2022-06-17 14:33:00,2022-06-17 20:14:00,2022-06-17 20:33:00,X10,
104,39,2022-06-17,13,Ac,3,235,2022-06-17 15:08:00,2022-06-17 15:23:00,2022-06-17 21:08:00,2022-06-17 21:23:00,X01,
105,39,2022-06-17,13,Cb,3,350,2022-06-17 15:09:00,2022-06-17 15:25:00,2022-06-17 21:09:00,2022-06-17 21:25:00,X02,
106,39,2022-06-17,13,St,3,120,2022-06-17 15:09:00,2022-06-17 15:22:00,2022-06-17 21:09:00,2022-06-17 21:22:00,X10,
107,40,2022-06-17,13,Ac,4,235,2022-06-17 17:52:00,2022-06-17 18:11:00,2022-06-17 23:52:00,2022-06-18 00:11:00,X01,
108,40,2022-06-17,13,Cb,4,350,2022-06-17 17:51:00,2022-06-17 18:11:00,2022-06-17 23:51:00,2022-06-18 00:11:00,X02,
109,40,2022-06-17,13,St,4,120,2022-06-17 17:51:00,2022-06-17 18:11:00,2022-06-17 23:51:00,2022-06-18 00:11:00,X10,
110,41,2022-06-17,13,Ac,5,235,2022-06-17 18:20:00,2022-06-17 18:40:00,2022-06-18 00:20:00,2022-06-18 00:40:00,X01,
111,41,2022-06-17,13,Cb,5,350,2022-06-17 18:20:00,2022-06-17 18:40:00,2022-06-18 00:20:00,2022-06-18 00:40:00,X02,
112,41,2022-06-17,13,St,5,120,2022-06-17 18:20:00,2022-06-17 18:40:00,2022-06-18 00:20:00,2022-06-18 00:40:00,X10,
113,42,2022-06-17,13,Ac,6,235,2022-06-17 19:00:00,2022-06-17 19:21:00,2022-06-18 01:00:00,2022-06-18 01:21:00,X01,
114,42,2022-06-17,13,Cb,6,350,2022-06-17 19:00:00,2022-06-17 19:20:00,2022-06-18 01:00:00,2022-06-18 01:20:00,X02,
115,42,2022-06-17,13,St,6,120,2022-06-17 19:00:00,2022-06-17 19:20:00,2022-06-18 01:00:00,2022-06-18 01:20:00,X10,
116,43,2022-06-17,13,Ac,7,235,2022-06-17 19:32:00,2022-06-17 19:51:00,2022-06-18 01:32:00,2022-06-18 01:51:00,X01,
117,43,2022-06-17,13,Cb,7,350,2022-06-17 19:33:00,2022-06-17 19:51:00,2022-06-18 01:33:00,2022-06-18 01:51:00,X02,
118,43,2022-06-17,13,St,7,120,2022-06-17 19:33:00,2022-06-17 19:51:00,2022-06-18 01:33:00,2022-06-18 01:51:00,X10,
119,44,2022-06-18,14,Cb,1,350,2022-06-18 13:31:00,2022-06-18 13:47:00,2022-06-18 19:31:00,2022-06-18 19:47:00,X02,
120,44,2022-06-18,14,St,1,120,2022-06-18 13:31:00,2022-06-18 13:45:00,2022-06-18 19:31:00,2022-06-18 19:45:00,X10,
121,45,2022-06-18,14,St,2,120,2022-06-18 14:09:00,2022-06-18 14:25:00,2022-06-18 20:09:00,2022-06-18 20:25:00,X10,
122,45,2022-06-18,14,Cb,2,350,2022-06-18 14:08:00,2022-06-18 14:26:00,2022-06-18 20:08:00,2022-06-18 20:26:00,X02,
123,46,2022-06-18,14,St,3,5,2022-06-18 16:08:00,2022-06-18 16:20:00,2022-06-18 22:08:00,2022-06-18 22:20:00,X10,
124,46,2022-06-18,14,Cb,3,350,2022-06-18 16:08:00,2022-06-18 16:22:00,2022-06-18 22:08:00,2022-06-18 22:22:00,X02,
125,47,2022-06-18,14,St,4,120,2022-06-18 19:24:00,2022-06-18 19:41:00,2022-06-19 01:24:00,2022-06-19 01:41:00,X10,
